komentar,clean,sentimen
Keren. Ternyata sejarah bisa dikemas jadi film horor penuh inspirasi kayak gini,keren sejarah dikemas film horor penuh inspirasi kayak gini,2
"Itu bukan cuma kepala, tapi sama badan2nya. Jadi pas jendral di kuil kebakar dan jadi mirip banaspati, dia kembali ke titik dimana dia dikubur, karena memang dia harus menjaga daerah itu",bukan kepala badannya pas jendral kuil kebakar banaspati titik dimana dikubur menjatidak daerah,1
Mind blowing sih film horor yang ternyata intinyanmengenai penjajahan,mind blowing sih film horor intinyanmengenai penjajahan,1
"Pas awal2 film aku pikir hah dukun macam apa ini?
Oalah ceritanya penggali kubur.
Tiba ke ritual penggalian makam mulai merinding.
Seru banget pas setan kakeknya keluar.
Kirain dah selesai tegangnya eh... Muncul masalah yang sebenarnya setelah itu.
Pas oninya muncul di gudang itu merinding habis.
Sampe ending dah gk sempat makan cemilan saking fokusnya nonton.
Dan pulangnya langsung terngiang-ngiang.
Keren banget pokoknya nih film.
Semoga ke depannya Indonesia bisa bikin film yang keren kaya gini. Udah bosen sama horor komersil yang cuma menang jumpscare tapi cerita gk jelas",pas film pikir hah dukun inioalah ceritanya pengtidakli kuburtiba ritual pengtidaklian makam merindingseru banget pas setan kakeknya keluarkirain dah selesai tetidakngnya eh muncul itupas oninya muncul gudang merinding habissampe ending dah gk makan cemilan saking fokusnya nontondan pulangnya langsung terngiangngiangkeren banget pokoknya nih filmsemotidak depannya indonesia bikin film keren kaya gini udah bosen horor komersil menang jumpscare cerita gk,1
ternyata cma biasa aja filmnya 😄,cma aja filmnya,1
"Yg masih bikin ku bingung, thun brapa jendral itu di kubur, jika dia di kubur sekitar tahun 1.600 an, knapa ada orang yg berpakaian seperti polisi. Trus jika jendral itu di kubur pada tahun penjajahan Jepang di Korea yg tahun 1.900 an, bagaimana jendral itu masih bisa hidup.. Siapa tau ada yg bisa bantu jawab",yg bikin ku bingung thun brapa jendral kubur kubur an knapa orang yg berpakaian polisi trus jendral kubur penjajahan jepang korea yg an batidakimana jendral hidup tau yg bantu,1
"Yang soal rubah ada di dekat makam itu kalo ga salah jadi pertanda buruk, karena rubah aja ga mau deket deket makam tersebut. Sesuatu yang sangat bertolak belakang dengan sifat mereka.",rubah makam kalo tidak salah pertanda buruk rubah aja tidak deket deket makam santidakt bertolak dentidakn sifat,0
"Nice info kak. Makasih penjelasannya, harus rewatch berkali"" filmnya baru paham 👏",nice info kak makasih penjelasannya rewatch berkali filmnya paham,1
"Hahaha
Baru kelar nonton",hahahabaru kelar nonton,1
"Mau tanya bang, sosok cewe jubah putih yang ditakutin hantu shogun pas dihutan itu siapa ya? Neneknya hwa rim kah?",bang sosok cewe jubah putih ditakutin hantu shogun pas dihutan ya neneknya hwa rim kah,1
"Pas ngegali makam dan ada peti yang dikubur vertikal kek gitu asli merinding banget, lebih serem daripada setannya itu sendiri.",pas ngetidakli makam peti dikubur vertikal kek gitu asli merinding banget serem setannya,1
keren nih dibikin bab per bab kyk filmnya,keren nih dibikin bab bab kyk filmnya,2
"Bagus tapi gw ngerasa penyampaian dialog antara karakter kurang suka, yg ngomong siapa yg disorot kamera siapa, jadi kerasa kureng aja. Beberapa kali nonton film2 korea pasti rata2 gitu cara berdialognya",bagus gw ngerasa penyampaian dialog karakter suka yg ngomong yg disorot kamera kerasa kureng aja kali nonton film korea gitu berdialognya,2
demit tu apa?,demit tu,1
Tolong.jelasin knp ada yg mau buka peti jendral pdhal dia.udh tau kepergok tp ttp ngebuka,tolongjelasin knp yg buka peti jendral pdhal diaudh tau kepergok tp ttp ngebuka,1
"Ada satu hal yang saya masih bingung, battle of Sekigahara terjadi tahun 1600 sementara invasi Toyotomi Hideyoshi ke Korea berlangsung 1592 - 1598. Jadi si oni genderuwo banaspati ini sengaja dibawa kembali ke Korea setelah 1600 (setelah pasukan Jepang pergi dari Korea)?",bingung battle of sekitidakhara invasi toyotomi hideyoshi korea si oni genderuwo banaspati sentidakja dibawa korea pasukan jepang pergi korea,2
"Kalo di indo, pasaj bumi adkah tnanan herbal buay bkin stamina kejantann cowok jadi on",kalo indo pasaj bumi adkah tnanan herbal buay bkin stamina kejantann cowok on,1
Film ini ceritanya lumayan berat,film ceritanya lumayan berat,1
Parasyte kan Jepun?,parasyte jepun,1
Yg gua heran iblis takut sama hantu nenek2🤣,yg gua heran iblis takut hantu nenek,1
"Serem apanya , genius apa coba.. JD setan jepang lol . 
Jadi aneh lihatnya 
Ga sesuai isi film payah",serem apanya genius coba jd setan jepang lol aneh lihatnya tidak sesuai isi film payah,0
"Buset! santet Jepang udah gak main tanem di depan rumah orang lagi kayak santet Indonesia, tapi di tanem di tanah strategis Korea, akibatnya pecah belah dah tuh negara",buset santet jepang udah tidakk main tanem rumah orang kayak santet indonesia tanem tanah strategis korea akibatnya pecah belah dah tuh netidakra,1
"Si jendral dipasang pasak berupa pedang pada masa sekigahara (1600an) oleh si rubah. Kemudian dilakukan ritual jadi bala tentara iblis si rubah tapi lokasi masih di Jepang belum dikubur di Korea.
Nah setelah Jepang menjajah Korea, si rubah baru pindah ke Korea membawa si jendral. Dan kemudian di kubur di sana di tahun 1900an.
Harus diketahui, bahwa Jepang pernah menyerang Korea tahun 1600an pada masa Toyotomi Hideyoshi, namun gagal. Ini terjadi sebelum perang Sekigahara. Nah si jendral ini anggota western army yang ikut menyerang Korea. Tapi balik ke Jepang setelah gagal. Dia baru kalah dan mati di perang Sekigahara setelah itu.",si jendral dipasang pasak pedang sekitidakhara an si rubah ritual bala tentara iblis si rubah lokasi jepang dikubur koreanah jepang menjajah korea si rubah pindah korea membawa si jendral kubur anharus jepang menyerang korea an toyotomi hideyoshi tidaktidakl perang sekitidakhara si jendral anggota western army menyerang korea jepang tidaktidakl kalah mati perang sekitidakhara,1
jadi gimanaaa?,gimanaaa,1
" @cinecrib  Bagus sih, cuma sayang gak nonton di bioskop suasananya gak dapet",cinecrib bagus sih sayang tidakk nonton bioskop suasananya tidakk dapet,2
"wujudnya nenek tapi sebenernya itu dewa pelindungnya Hwa Rim, karena setiap shaman yg udah ""lulus"" bakal dapet sosok pelindung ini",wujudnya nenek sebenernya dewa pelindungnya hwa rim shaman yg udah lulus dapet sosok pelindung,1
setan,setan,1
"Peti yg pertama karna diukir mewah jd dia beranggapan isinya banyak hartanya, karna budaya sana kalo dimakamkan hartanya jg ikut di masukan makanya suka banyak pencuri makam",peti yg karna diukir mewah jd berangtidakpan isinya hartanya karna budaya kalo dimakamkan hartanya jg masukan suka pencuri makam,2
"Dilihat dari gudang yang masih ke gembok lalu dibuka oleh bong gil, ternyata petinya udah kebuka, bisa diartikan itu kebuka sendiri. Bukan ada manusia yang buka",gudang gembok dibuka bong gil petinya udah kebuka diartikan kebuka bukan manusia buka,1
"gak ada yang mau buka peti jendral kak, itu kebuka sendiri~",tidakk buka peti jendral kak kebuka,1
"​ @cinecrib mungkin maksud dia peti yg pertama, pas di bawa ke rumah sakit kali😂",cinecribmungkin maksud peti yg pas bawa rumah sakit kali,1
oh petugas rumah sakit itu ya? mau nyolong dia,oh petutidaks rumah sakit ya nyolong,1
"si setan samurai ini kan aslinya gabungan antara pedang terkutuk sama manusia

jadi pas tahun 1600 atau lebih lama lagi, dia wujudnya masih berupa pedang dan setelah masa perang antar clan berakhir dia disimpen di kuil (Namsan shrine, Daikotu)

sampe akhirnya diakhir periode perang Jepang-Korea, pedang itu diambil sama dukun Jepang (Fox Shaman Murayama Junji) buat ritual bangkitin si setan samurai ini, sebagai upaya terakhir mereka bikin tiang yg gak bisa dicabut.

jadi orang yg dipenggal pas ritual itu bukan badan aslinya.",si setan samurai aslinya tidakbuntidakn pedang terkutuk manusiajadi pas wujudnya pedang perang clan disimpen kuil namsan shrine daikotusampe diakhir periode perang jepangkorea pedang diambil dukun jepang fox shaman murayama junji ritual bangkitin si setan samurai sebatidaki upaya bikin tiang yg tidakk dicabutjadi orang yg dipengtidakl pas ritual bukan badan aslinya,1
"aturan mainnya begitu bang, setan dari luar harus hormat sama setan lokal

nah si iblis samurai kan dibawa dari jepang, makanya pas adegan ngobrol sama pohon dia nanya ""apakah ini gunung punyamu?"", trus pas ketemu nenek dia langsung cabut karena tugas utamanya dia buat jaga kuburan doang bukan gelut sama roh lain",aturan mainnya bang setan hormat setan lokalnah si iblis samurai dibawa jepang pas adetidakn ngobrol pohon nanya gunung punyamu trus pas ketemu nenek langsung cabut tutidaks utamanya jatidak kuburan doang bukan gelut roh,1
Tetap alur film yang paling membingungkan itu donnie darko,alur film membingungkan donnie darko,1
"Ku kira,_si genduruwo jepang adalah entitas pedang yg mmbunuh ktika prang. Dulu. Kan yg digembor gemborin spoiler film ni, dukun korea nglwan hantu jpn",ku kirasi genduruwo jepang entitas pedang yg mmbunuh ktika prang yg digembor gemborin spoiler film ni dukun korea nglwan hantu jpn,1
"Rubah = Hewan
Berubah = Sifat
Kebetulan rubah identik dgn sifat licik
Yg sifatnya berubah""
Di mitologi jepun rubah jg bisa menyamar
Apakah dulu pas masuk KBBI emang sengaja dibikin demikian, atau emang kebetulan semata?",rubah hewanberubah sifatkebetulan rubah identik dgn sifat licikyg sifatnya berubahdi mitologi jepun rubah jg menyamarapakah pas masuk kbbi emang sentidakja dibikin emang,1
gajelas movie overated,tidakjelas movie overated,1
Khodam nya huarin yg ajjumaa hanbok putih itu blom kebahas,khodam nya huarin yg ajjumaa hanbok putih blom kebahas,1
kenapa ada jasad raksasa di luar peti mati ?? yg saat di gali oleh ahli fengsui itu.,jasad raksasa peti mati yg tidakli ahli fengsui,1
Semua pertanyaan setelah nnton film exhuma akhirny terjawab dengan jelas. Thanks bang penjelasannya🙏😭,nnton film exhuma akhirny terjawab dentidakn thanks bang penjelasannya,1
bosannnn bang lo cerita. Muka lo terus bang . Jual tampang aja,bosannnn bang lo cerita muka lo bang jual tampang aja,0
"Mbak dukung punya khodam ,😂",mbak dukung khodam,1
Ini opening nya kelamaan bang keburu di ceritain alur nya,opening nya bang keburu ceritain alur nya,1
"menurut aku, ini film yang aku ngerti krn liat pembahasannya di luar film, bkn bener2 krn nonton filmnya. mungkin krn kita bkn warga asia timur kali ya. ada persamaan budaya tapi banyak jga yg bedanya. alurnya juga agak terlalu cepat. semua aktornya aktingnya ok, apalagi adegan manggil setannya beneran bikin merinding. tapi yg aku sayangkan, menurut aku di part intinya, yg melawan si shogun itu malah 'hero'nya ganti ke si ahli fengshui, bkn sama hwarim krn adegan nusuk shogun pake kayu basah (dilumuri darah kuda putih). adegan hwarim ngibulin si shogun menurutku krg greget dan masih dibantu 'roh' neneknya.",film ngerti krn liat pembahasannya film bkn bener krn nonton filmnya krn bkn wartidak asia timur kali ya persamaan budaya jtidak yg bedanya alurnya jutidak atidakk cepat aktornya aktingnya ok adetidakn manggil setannya beneran bikin merinding yg sayangkan part intinya yg melawan si shogun heronya tidaknti si ahli fengshui bkn hwarim krn adetidakn nusuk shogun pake kayu basah dilumuri darah kuda putih adetidakn hwarim ngibulin si shogun menurutku krg greget dibantu roh neneknya,1
makasih bg!!,makasih bg,1
"Kelar nonton, tp ga ngerti knapa efek pasak besi si daimyo baru terjadi di abad 20 (berupa pecahbya korut dan korsel), pdhl daimyo nya dikubur sesaat sebelum jepang mundur pd kekalahan imjin war di abad 16. (???)",kelar nonton tp tidak ngerti knapa efek pasak besi si daimyo abad pecahbya korut korsel pdhl daimyo nya dikubur jepang mundur pd kekalahan imjin war abad,1
Kitsune Korea disebut Gumiho.,kitsune korea gumiho,1
film pembodohan,film pembodohan,1
"Baru nonton sekarang dan tau sejarah penjajahan korea membantu banget. Karena ngajak orang lain nonton yang gak ngerti, jadinya nanya terus 😂

Akting dan ceritanya bagus banget sampai hantu benerannya kepanggil 😅",nonton tau sejarah penjajahan korea membantu banget ntidakjak orang nonton tidakk ngerti nanya akting ceritanya bagus banget hantu benerannya kepanggil,2
"Info dong buat yg udh nnton,filmny ada unsur ++ ny ga?,soalny mau nnton sm keluarga",info yg udh nntonfilmny unsur ny tidaksoalny nnton sm keluartidak,1
kenapa nenek moyangnya keluarga park.. membunuh keturunanya.. ?? dan kenapa banyinya selalu menangis ?? tolong kalau ada yg tau bantu jawab..,nenek moyangnya keluartidak park membunuh keturunanya banyinya menangis tolong yg tau bantu,1
"15:45
melon pasukan timur
ikan pasukan barat
jendral pasukan barat, kenapa yang disiapin ikan?  sedangkan si jendral ikannya dimakan, kalo penggambaran dari pasukan barat nyerang pasukan timur bukannya mestinya melon yang dikasih?",melon pasukan timurikan pasukan baratjendral pasukan barat disiapin ikan si jendral ikannya dimakan kalo pengtidakmbaran pasukan barat nyerang pasukan timur mestinya melon dikasih,2
"woy goblok baca apa judul nya penjelasan, goblok bgt ajg yg komen",woy goblok baca judul nya penjelasan goblok bgt ajg yg komen,1
"emang gitu bang, yg jahat justru si pedang terkutuk itu, sementara samurai yg dipenggal kepalanya itu cuma wadah doang",emang gitu bang yg jahat si pedang terkutuk samurai yg dipengtidakl kepalanya wadah doang,1
"Tadi juga mikir gitu, trus pas dipikir lagi ternyata jasad raksasa jendral itu balik lagi ke makamnya. Awalnya kan ditaruh di peti mati, lalu diangkat sama ahli fengshui dan hwarim ke kuil. Pas di kuil terjadi ledakan, muncul hantu jendralnya dan pas pagi hantu jendralnya udh balik jadi jasad raksasa di makam",jutidak mikir gitu trus pas dipikir jasad raksasa jendral makamnya ditaruh peti mati diangkat ahli fengshui hwarim kuil pas kuil ledakan muncul hantu jendralnya pas pagi hantu jendralnya udh jasad raksasa makam,1
Si raksasa plng k rumah stelah menyucikan diri jadi bola api di kuil,si raksasa plng k rumah stelah menyucikan bola api kuil,1
suka-suka yang punya channel,sukasuka channel,2
 @cinecrib wkwkwkwk,cinecribwkwkwkwk,1
Mending lu yg cerita bg,mending lu yg cerita bg,1
"pas jaman imjin war atau 1600an itu dia wujudnya masih pedang yg terkutuk bang belum jadi setan samurai

nah baru pas jaman perang jepang-korea si pedang tadi dimasukin ke mayat samurai buat jadi pasak paling kuat

jadi yg punya kekuatan jahat disini si pedang itu, manusianya cuma jadi wadah",pas jaman imjin war an wujudnya pedang yg terkutuk bang setan samurainah pas jaman perang jepangkorea si pedang dimasukin mayat samurai pasak kuatjadi yg kekuatan jahat si pedang manusianya wadah,1
siap si paling pintar,si pintar,1
"gak ada, aman",tidakk aman,1
"Kalau ga salah krn si jiwa kakeknya ini semacam ga tenang krn tanah tempat dia di kubur kan tanah terkutuk. Dia nunggu keturunannya buat kasih dia persembahan sama di pindah dari tanah itu selama puluhan tahun. Kalau sering nonton drakor pasti pernah lihat adegan menghormati leluhur yg pakai makanan itu mirip sama di kuburan china krn mereka percaya setelah mati pun, mereka masih bisa nerima makanan, pakaian, uang, dll yg dikasih keturunannya. Nah si leluhur ini dendam krn keturunannya ga pernah bikin upacara kayak gitu sama ""bebasin"" dia dari tanah terkutuk makanya dia jadi punya dendam kuat sampai ngebunuhin keturunannya. Ingat kan pas mau bunuh kakek yg pertama, si jiwa kakeknya ini bilang dia lapar. Kalau ga salah gitu sih",tidak salah krn si jiwa kakeknya tidak tenang krn tanah kubur tanah terkutuk nunggu keturunannya kasih persembahan pindah tanah puluhan nonton drakor lihat adetidakn menghormati leluhur yg pakai makanan kuburan china krn percaya mati nerima makanan pakaian uang dll yg dikasih keturunannya si leluhur dendam krn keturunannya tidak bikin upacara kayak gitu bebasin tanah terkutuk dendam kuat ngebunuhin keturunannya intidakt pas bunuh kakek yg si jiwa kakeknya bilang lapar tidak salah gitu sih,1
" @orizasativa675 make sense, tengkyu penjelasannya bang ✨",orizasativamake sense tengkyu penjelasannya bang,1
Kebanyakan bacot lu bang tinggal ceritain doang juga,kebanyakan bacot lu bang tingtidakl ceritain doang jutidak,1
Lebaran nonton exhuma saja,lebaran nonton exhuma,1
Sama soal bayi penerus keluarga Park yang dijaga oleh suster berkebangsaan USA. Seolah menyiratkan generasi penerus Korsel kini dijaga oleh Amerika Serikat. Tapi suster (penjaganya) ketiduran hahahaha...,bayi penerus keluartidak park dijatidak suster berkebangsaan usa menyiratkan generasi penerus korsel dijatidak amerika serikat suster penjatidaknya ketiduran hahahaha,1
"Mau fokus nonton penjelasannya malah salah fokus ke ls sama poster dreamcatcher omg, bias km siapa kak?? ...",fokus nonton penjelasannya salah fokus ls poster dreamcatcher omg bias km kak,1
Ada muka lu mulu,muka lu mulu,1
"Klo dipikir2 malah mirip cerita kimetsu no yaiba. Kan disitu sama2 ada oni yg harus dikalahkan, nah kekuatan pembasmi oniny juga harus berevolusi sesuai kekuatan oninya. Dalam hal ini si ahli fengsui akhirnya bisa mengalahkan samurai oni pake kayu basah (air) setelah mengetahui elemen oni nya adalah logam+api. 
Klo si tanjiro kan juga akhirnya bisa berevolusi soal kekuatan baru jurus api setelah sebelumny cuma bisa jurus air yg mana belom cocok untuk mengalahkan setiap oni chan yg ada",klo dipikir cerita kimetsu no yaiba disitu oni yg dikalahkan kekuatan pembasmi oniny jutidak berevolusi sesuai kekuatan oninya si ahli fengsui mentidaklahkan samurai oni pake kayu basah air elemen oni nya lotidakmapi klo si tanjiro jutidak berevolusi kekuatan jurus api sebelumny jurus air yg belom cocok mentidaklahkan oni chan yg,1
Baru nonton tadi siang dan benran masih rame penontonnya. Ini film korea terlaris di indonesia,nonton siang benran rame penontonnya film korea terlaris indonesia,1
"Sekuat kuatnya pasak jepang , kalahnya ama nuklir wkwkwk",sekuat kuatnya pasak jepang kalahnya ama nuklir wkwkwk,1
keren banget penjelasannya!!! baru banget selesai nonton dan masih puzzling…. and this video perfected the picture. thank you mas!!,keren banget penjelasannya banget selesai nonton puzzling and this video perfected the picture thank you mas,2
Baru aja nonton. Dan gua ga ngerti,aja nonton gua tidak ngerti,1
Garis lintang yg di kuburan itu brpa si lupa gw,tidakris lintang yg kuburan brpa si lupa gw,1
Taik.  Malah bykan nongolin muka sendiri,taik bykan nongolin muka,1
"awalnya gw skeptis dengan exhuma bakal mikir kyk film dukun korea kyk biasanyanya  namun untuk yang ini, layak jadi salah satu dari film terbaik yang diperhitungkan untuk fim dukun dukunan. Horor + supranatural + refrensi sejarah kolonials ditangan film maker yang tepat mengasilkan karya yang luar biasa, sebagai penonton awam casual worth it banget buat nontn di bioskop..",gw skeptis dentidakn exhuma mikir kyk film dukun korea kyk biasanyanya layak salah film terbaik diperhitungkan fim dukun dukunan horor supranatural refrensi sejarah kolonials ditantidakn film maker mentidaksilkan karya sebatidaki penonton awam casual worth it banget nontn bioskop,1
Terimakasih bang,terimakasih bang,1
"pengen nonton tp bioskop jauh , ada link film nya yg di luar bioskop ga si :'(",pengen nonton tp bioskop link film nya yg bioskop tidak si,1
Lu ga ngerti ngerti amat co,lu tidak ngerti ngerti co,1
Berharap banget nemu penjelasan ttg buku yg pak kim temukan di kuil beserta simbol yg muncul dinding kuil. Masih belum juga nemu penjelasan ttg senjata yg bunuh siluman samurai dilihat dari segi geomancy. Juga sebenernya tuh ayam yg di bawa ke RS buat apa sih??,berharap banget nemu penjelasan ttg buku yg kim temukan kuil beserta simbol yg muncul dinding kuil jutidak nemu penjelasan ttg senjata yg bunuh siluman samurai segi geomancy jutidak sebenernya tuh ayam yg bawa rs sih,1
"Film exhuma berbeda dgn film horror pada umunya yg mengutaman adegan jumpscare, exhuma mengangkat misteri dari sisi lain, seperti keterkaitan Sejarah antara Korea Selatan dengan Jepang, Sejarah mengenai pasak besi yang dipercaya Sebagian Masyarakat korea Selatan. Film exhuma membahas hal2 yang dekat dengan Masyarakat korea sendiri, seperti : Fengshui, perdukunan, kepercayaan hujan yg dapat membuat roh lama pergi ke akhirat, melibatkan kepercayaan dari berbagai agama, hwa rim, bong gil dan biksu mewakili budha, Young Geun ( Si Penggali kubur) mewakili Kristen, adanya komunitas pasak besi yang mencari pasak besi secara nyata, sedangkan di dalam film pasak besinya di masukkan kedalam tubuh sang jendral, jadi sangat menarik, mereka mencari kemana2 juga tdk ketemu karena pasak besinya ada didalam tubuh jendral jepang, kan jadi masuk akal dikaitkan dengan kehidupan nyata. Di tambah acting pemain yang sangat bagus, wah pokonya ini film sangat layak dan pantas mendapat apresiasi dari Masyarakat.",film exhuma berbeda dgn film horror umunya yg mengutaman adetidakn jumpscare exhuma mentidakngkat misteri sisi keterkaitan sejarah korea selatan dentidakn jepang sejarah pasak besi dipercaya masyarakat korea selatan film exhuma membahas dentidakn masyarakat korea fengshui perdukunan kepercayaan hujan yg roh pergi akhirat melibatkan kepercayaan berbatidaki atidakma hwa rim bong gil biksu mewakili budha young geun si pengtidakli kubur mewakili kristen komunitas pasak besi mencari pasak besi nyata film pasak besinya masukkan kedalam tubuh sang jendral santidakt menarik mencari kemana jutidak tdk ketemu pasak besinya didalam tubuh jendral jepang masuk akal dikaitkan dentidakn kehidupan nyata acting pemain santidakt bagus pokonya film santidakt layak apresiasi masyarakat,2
Kelar nonton stlh berangan2 kpn bisa nonton. Oh y bang 1 lagi tp ini cm asumsi sih. Jadi ini kayaknya ada sdikit kritik sosial jg mngenai budaya patriarki d Korsel. Jd stlah nonton q mikir knp si leluhur mngincar garis keturunan laki2nya tlbih dahulu y krn garis kturunan laki2 lbh diutamakan drpd perempuan d Korsel. Peran si nenek alias anak perempuan leluhur tuan Park mjd pnyelamat seluruh keluarga dng mngizinkan unt kremasi sang ayah agr kutukannya brhenti.,kelar nonton stlh berantidakn kpn nonton oh y bang tp cm asumsi sih kayaknya sdikit kritik sosial jg mngenai budaya patriarki d korsel jd stlah nonton q mikir knp si leluhur mngincar tidakris keturunan lakinya tlbih y krn tidakris kturunan laki lbh diutamakan drpd perempuan d korsel peran si nenek alias anak perempuan leluhur tuan park mjd pnyelamat keluartidak dng mngizinkan unt kremasi sang ayah agr kutukannya brhenti,1
